X=6.542 Y=8.994 Z=161.355
X=5.816 Y=11.568 Z=161.181
X=4.027 Y=13.960 Z=160.718
X=1.998 Y=16.191 Z=160.485
X=0.648 Y=17.398 Z=160.363
X=-0.205 Y=17.870 Z=160.622
X=-1.212 Y=18.280 Z=160.926
X=-1.842 Y=18.483 Z=161.067
X=-2.142 Y=18.457 Z=161.165
X=-1.343 Y=17.956 Z=160.883
X=1.982 Y=16.139 Z=160.286
X=5.894 Y=11.977 Z=158.255
X=8.058 Y=7.893 Z=154.313
X=8.730 Y=5.687 Z=151.866
X=8.773 Y=4.639 Z=150.233
X=8.569 Y=3.794 Z=149.241
X=8.358 Y=2.424 Z=148.772
X=8.139 Y=1.938 Z=148.240
X=7.732 Y=2.485 Z=147.325
X=7.649 Y=4.163 Z=148.752
X=7.483 Y=5.125 Z=148.668
X=7.188 Y=5.539 Z=148.745
X=7.048 Y=5.587 Z=148.815
X=7.023 Y=6.187 Z=148.693
X=7.628 Y=7.099 Z=148.327
X=7.577 Y=7.394 Z=148.105
X=6.056 Y=6.175 Z=149.189
X=5.156 Y=7.471 Z=151.112
X=4.378 Y=10.992 Z=150.931
X=3.426 Y=11.624 Z=150.318
X=3.290 Y=8.303 Z=150.067
X=4.525 Y=3.326 Z=150.107
X=5.781 Y=-2.189 Z=149.927
X=6.544 Y=-4.911 Z=149.943
X=7.082 Y=-6.439 Z=149.869
X=6.792 Y=-6.722 Z=150.272
X=5.813 Y=-4.024 Z=151.736
X=3.640 Y=-0.669 Z=153.825
X=0.687 Y=1.580 Z=155.741
X=-2.308 Y=2.861 Z=157.247
X=-5.039 Y=3.229 Z=158.724
X=-6.237 Y=3.179 Z=159.235
X=-6.941 Y=3.076 Z=159.494
X=-7.698 Y=3.211 Z=159.730
X=-8.149 Y=3.604 Z=159.880
X=-8.806 Y=4.495 Z=160.061
X=-9.826 Y=5.530 Z=160.112
X=-10.307 Y=6.463 Z=160.115
X=-10.273 Y=6.953 Z=160.024
X=-9.956 Y=9.330 Z=159.916
X=-8.682 Y=15.631 Z=159.340
X=-7.396 Y=25.872 Z=158.389
X=-6.125 Y=36.471 Z=159.145
X=-5.466 Y=43.365 Z=160.402
X=-5.074 Y=46.117 Z=160.796
X=-4.961 Y=46.121 Z=160.790
X=-4.821 Y=45.952 Z=160.728
X=-4.796 Y=45.848 Z=160.779
X=-4.907 Y=45.395 Z=160.693
X=-5.582 Y=41.019 Z=160.520
X=-5.474 Y=35.037 Z=160.505
X=-5.450 Y=29.294 Z=160.476
X=-5.728 Y=25.281 Z=160.808
X=-6.083 Y=23.524 Z=160.654
X=-6.207 Y=22.423 Z=160.670
X=-6.133 Y=21.606 Z=160.712
X=-6.042 Y=20.909 Z=160.630
X=-6.195 Y=20.240 Z=160.470
X=-6.175 Y=20.347 Z=160.078
X=-5.609 Y=23.610 Z=159.799
X=-4.558 Y=31.244 Z=159.239
X=-3.689 Y=42.926 Z=158.287
X=-3.272 Y=54.752 Z=160.333
X=-2.465 Y=62.325 Z=160.871
X=0.511 Y=64.832 Z=159.966
X=5.767 Y=65.208 Z=158.952
X=10.595 Y=63.482 Z=156.917
X=13.879 Y=60.198 Z=153.976
X=14.404 Y=53.962 Z=151.831
X=14.371 Y=45.601 Z=150.777
X=14.748 Y=34.340 Z=149.678
X=16.069 Y=24.319 Z=148.759
X=16.972 Y=20.300 Z=148.449
X=17.524 Y=17.693 Z=148.100
X=18.341 Y=16.288 Z=147.985
X=18.961 Y=16.410 Z=147.766
X=18.841 Y=16.501 Z=147.721
X=18.544 Y=15.958 Z=147.807
X=17.307 Y=14.889 Z=147.944
X=12.863 Y=15.607 Z=149.065
X=8.143 Y=18.227 Z=150.358
X=4.992 Y=20.802 Z=150.735
X=2.594 Y=22.812 Z=148.380
X=-0.027 Y=22.089 Z=147.869
X=-2.766 Y=18.426 Z=148.484
X=-5.828 Y=11.427 Z=150.483
X=-9.344 Y=4.221 Z=152.265
X=-11.847 Y=-0.503 Z=154.215
X=-11.822 Y=-2.250 Z=155.749
X=-9.381 Y=-1.520 Z=155.755
X=-5.276 Y=2.736 Z=154.272
X=-3.689 Y=5.912 Z=153.297
X=-2.901 Y=8.910 Z=152.564
X=-3.259 Y=13.253 Z=152.924
X=-5.303 Y=16.664 Z=154.242
X=-7.402 Y=18.334 Z=155.758
X=-8.524 Y=18.661 Z=157.054
X=-8.476 Y=18.694 Z=157.505
X=-6.478 Y=17.308 Z=157.237
X=-1.279 Y=9.276 Z=156.108
X=-2.488 Y=0.735 Z=155.824
X=-5.327 Y=-1.845 Z=156.274
X=-6.976 Y=-0.563 Z=157.261
X=-4.259 Y=4.039 Z=157.675
X=0.581 Y=14.727 Z=157.514
X=-3.146 Y=22.151 Z=157.531
X=-6.689 Y=22.896 Z=158.017
X=-8.100 Y=23.276 Z=157.968
X=-7.667 Y=26.362 Z=157.596
X=-6.582 Y=34.481 Z=156.664
X=-5.409 Y=47.209 Z=156.620
X=-3.549 Y=56.477 Z=158.538
X=-1.807 Y=61.162 Z=158.408
X=1.301 Y=60.948 Z=157.056
X=5.536 Y=56.818 Z=155.708
X=7.461 Y=52.180 Z=154.367
X=8.131 Y=48.125 Z=153.779
X=6.839 Y=42.337 Z=153.430
X=5.496 Y=34.467 Z=152.894
X=5.500 Y=25.802 Z=152.644
X=5.588 Y=19.603 Z=151.879
X=5.930 Y=16.758 Z=151.914
X=6.478 Y=16.078 Z=152.754
X=6.302 Y=16.172 Z=153.881
