X=7.772 Y=4.440 Z=150.780
X=8.890 Y=2.586 Z=150.436
X=8.455 Y=1.348 Z=150.522
X=7.105 Y=1.193 Z=150.864
X=6.147 Y=2.807 Z=150.738
X=4.298 Y=5.654 Z=151.000
X=2.942 Y=8.008 Z=154.178
X=1.776 Y=10.986 Z=161.205
X=-1.029 Y=13.810 Z=164.250
X=-2.080 Y=16.509 Z=165.051
X=-1.976 Y=18.542 Z=164.155
X=-2.659 Y=18.677 Z=164.420
X=-2.034 Y=17.535 Z=163.953
X=-0.791 Y=13.794 Z=163.269
X=1.911 Y=6.994 Z=160.726
X=4.972 Y=0.167 Z=155.023
X=7.509 Y=-5.065 Z=152.360
X=9.276 Y=-7.610 Z=150.885
X=10.466 Y=-8.492 Z=150.381
X=11.048 Y=-8.602 Z=150.141
X=10.061 Y=-7.135 Z=150.421
X=8.680 Y=-3.815 Z=150.958
X=7.905 Y=0.947 Z=150.979
X=8.322 Y=4.313 Z=150.909
X=9.302 Y=7.587 Z=150.478
X=8.554 Y=8.969 Z=150.565
X=4.822 Y=7.792 Z=151.903
X=-0.964 Y=5.046 Z=154.956
X=-6.449 Y=-0.593 Z=155.792
X=-11.582 Y=-4.318 Z=157.357
X=-16.154 Y=-6.956 Z=159.170
X=-19.139 Y=-7.539 Z=160.563
X=-21.210 Y=-7.403 Z=160.586
X=-22.867 Y=-6.454 Z=160.436
X=-24.291 Y=-5.459 Z=160.254
X=-25.186 Y=-5.075 Z=160.232
X=-25.300 Y=-4.576 Z=160.164
X=-24.931 Y=-3.936 Z=160.095
X=-24.568 Y=-3.324 Z=160.060
X=-23.966 Y=-2.989 Z=159.894
X=-22.916 Y=-2.576 Z=159.727
X=-17.332 Y=-2.875 Z=157.703
X=-11.435 Y=-6.437 Z=154.174
X=-8.814 Y=-7.963 Z=152.056
X=-5.794 Y=-7.790 Z=149.923
X=-2.572 Y=-7.577 Z=149.923
X=-0.158 Y=-6.208 Z=150.038
X=2.328 Y=-1.023 Z=150.168
X=5.695 Y=8.188 Z=150.565
X=9.512 Y=15.123 Z=150.852
X=11.587 Y=17.610 Z=150.096
